source_id,source_name,source_type,iso3_country,sector,subsector,lat,lon,year,capacity_units,annual_capacity_t,capacity_factor,annual_emissions_co2e_t,production_t,production_source,production_year,data_tier,fuel_energy_tj,useful_heat_tj,useful_heat_mwh,heat_method,food_country_scale,ct_country_artifact,SiteID,SiteName,CompanyName,match_confidence,distance_km,name_similarity,annual_output_t,production_2014_t,bench_heat_tj,band_source,heat_below100C_tj,heat_100C-200C_tj,heat_200C-500C_tj,heat_500C-1000C_tj,heat_above1000C_tj,bench_heat_mwh,fossil_share,fossil_share_basis,replaceable_heat_mwh,available_land_km2,bare_sparse_km2,cropland_km2,grassland_km2,shrubland_km2,tree_cover_km2,built_up_km2,snow_ice_km2,water_km2,wetland_km2,mangroves_km2,moss_lichen_km2,classification,solar_capacity_factor,process_temp_c,replaceable_heat_mwh_th,has_solar_data,has_land_data,has_replaceable_heat,heat_bound_low_factor,heat_bound_high_factor,heat_bound_rationale,replaceable_heat_mwh_th_low,replaceable_heat_mwh_th_high
38472832,Hefel Textil Gmbh,Cut & Sew|Washing|Ironing|Packaging|Product Finishing,AUT,manufacturing,textiles-leather-apparel,48.4366178,14.5399221,2024,USD,,,9237.590048999526,,none,,3.0,158.63970546109437,134.8437496419302,37456.59712275839,emissions_fuel_inversion,,False,,,,unmatched,,,,,134.8437496419302,external,74.16406230306161,47.19531237467557,13.48437496419302,0.0,0.0,37456.59712275839,0.976490647584783,country,36576.016780724654,16.49106055800039,0.0107552768554687,7.566549801182169,8.913755479962756,0.0,4.068128539040241,1.0972828449458103,,0.0017925127563476,,,,,0.152754946347032,120.5,36576.016780724654,True,True,True,0.85,1.2,Fuel EF / gas–oil mix (±); no food-style country rescale,31089.614263615957,43891.22013686958
38479518,Heratex (#),Cut & Sew|Packaging|Product Finishing,AUT,manufacturing,textiles-leather-apparel,47.4596131,13.9909218,2024,USD,,,9237.590048999526,,none,,3.0,158.63970546109437,134.8437496419302,37456.59712275839,emissions_fuel_inversion,,False,,,,unmatched,,,,,134.8437496419302,external,74.16406230306161,47.19531237467557,13.48437496419302,0.0,0.0,37456.59712275839,0.976490647584783,country,36576.016780724654,0.9774050187327664,0.0024346177978515,0.2666051525878906,0.7083652483470243,0.0,0.2811184914404776,0.367082601196289,,0.0,,,,,0.158500053652968,120.5,36576.016780724654,True,True,True,0.85,1.2,Fuel EF / gas–oil mix (±); no food-style country rescale,31089.614263615957,43891.22013686958
38475947,Huber,Cut & Sew|Knit Composite|Packaging|Product Finishing,AUT,manufacturing,textiles-leather-apparel,47.4223539,13.8752059,2024,USD,,,9237.590048999526,,none,,3.0,158.63970546109437,134.8437496419302,37456.59712275839,emissions_fuel_inversion,,False,,,,unmatched,,,,,134.8437496419302,external,74.16406230306161,47.19531237467557,13.48437496419302,0.0,0.0,37456.59712275839,0.976490647584783,country,36576.016780724654,2.2606753905488857,0.0006092354125976,0.7843799190178367,1.4756862361184515,0.0,0.2918792462682387,0.4118433605090571,,0.0280251961669921,,,,,0.1573530034246575,120.5,36576.016780724654,True,True,True,0.85,1.2,Fuel EF / gas–oil mix (±); no food-style country rescale,31089.614263615957,43891.22013686958
38480512,Jungbunzlauer Austria Ag,Animal And Vegetable Products From The Food And Beverage Sector,AUT,manufacturing,food-beverage-tobacco,48.721222,16.27811,2024,USD,,,310618.95592758583,,none,,3.0,2871.50920890384,2440.7828275682637,677995.2298800732,emissions_fuel_inversion,0.5383057860559275,False,,,,unmatched,,,,,2440.7828275682637,benchmark,1184.5634089757905,854.5938825489667,180.41959564200528,221.2059404015012,0.0,677995.2298800732,0.9513076684024186,country,644982.0613251743,72.05021153886173,0.0481346504516601,69.02248905366838,2.979587834741689,0.0,2.978095280129347,1.4077412014164945,,0.0065367344970703,0.0065365642700195,,,,0.1565764543378995,175.48230668414152,644982.0613251743,True,True,True,0.85,1.4,Country-rescale residual uncertainty (not full unscaled CT; that blows PT/ES),548234.7521263981,902974.885855244
32437240,Kirchdorfer Cement Plant,integrated dry,AUT,manufacturing,cement,47.9087598061799,14.1163799202923,2024,t of cement,500000.0000400001,0.5105250397791579,149882.4938,255262.51990999997,climate_trace,2024.0,1.0,714.7350557479999,428.8410334487999,119122.5092913333,production_sec,,False,11.0,Kirchdorfer Zementwerk Hofmann GmbH,Kirchdorfer Zementbeteiligungs G,high,0.1938406525718829,0.7083333333333334,255262.51990999997,373636.78,687.93249115745,benchmark,0.0,0.0,68.793249115745,412.75949469447,206.379747347235,191092.3586548472,0.8721971941922848,country,103898.31836904529,15.141498944780658,0.0120759901123046,5.88733977403876,9.242083180629594,0.0,5.229094171402517,3.5602573269631765,,0.0132824225463867,,,,,0.1546936232876712,875.0,103898.31836904529,True,True,True,0.85,1.6,Kiln η 50–60% (low); high ≈ Hotmaps/METHODS SEC gap (~+60%),88313.57061368848,166237.30939047248
44375328,"Laakirchen Papier AG, Heinzel Group",Pulp misc.,AUT,manufacturing,pulp-and-paper,47.9770957,13.8161934,2024,t of pulp & paper,570000.0,0.7693467454961346,151082.77519,260039.19997,climate_trace,2024.0,1.0,2730.4115996849996,2320.8498597322496,644680.5165922915,production_sec,,True,23.0,UPM Kymmene Austria GmbH,UPM Kymmene,high,0.6945624422458652,0.24,260039.19997,,1866.431357784675,benchmark,35.755389995875,1780.6184217945747,35.755389995875,14.30215599835,0.0,518453.15494018747,0.3210698503623658,country,206987.47699381973,40.316376107409866,0.1573054216918945,32.75745248961943,7.40161819609854,0.0,6.562645299369063,4.8008757285151455,,0.0214832851059857,,,,Paper/Board,0.1572709292237443,156.70498084291185,206987.47699381973,True,True,True,0.7,1.15,Low: high-biomass countries (fossil share); high: SEC + fossil-share upside,144891.2338956738,238035.59854289267
45257135,Linz Melamine and Fertilizers Complex,ammonia,AUT,manufacturing,chemicals,48.2895958,14.3307955,2024,t of chemical,1499999.9999999998,0.2533333333333333,752400.0,379999.9999999999,climate_trace,2024.0,1.0,3419.999999999999,3077.999999999999,854999.9999999998,production_sec,,False,1101.0,DSM Fine Chemicals Austria Nfg GmbH & Co KG,DSM Life Science Products Intern,high,0.2355329815654893,0.2686567164179104,379999.9999999999,,4282.5999999999985,benchmark,0.0,0.0,0.0,2855.066666666666,1427.533333333333,1189611.1111111108,0.8551023208132043,country,731112.4842952894,6.565008556343828,0.254550634505687,2.542399516800226,3.767458898629223,0.0005995064086914,11.675475425258025,21.68019903026241,,4.292197657532934,0.020639467440736,,,,0.1520617728310502,933.3333333333331,731112.4842952894,True,True,True,0.85,1.4,SEC/η uncertainty; high ≈ Hotmaps/METHODS gap (~+40%),621445.6116509959,1023557.4780134051
1895156,Mannersdorf Cement Plant,integrated dry,AUT,manufacturing,cement,47.9836888240867,16.6070562287626,2024,t of cement,1200000.00027,0.5822887680356518,313384.321305,698746.5218000001,climate_trace,2024.0,1.0,1956.49026104,1173.894156624,326081.71017333335,production_sec,,False,9.0,Lafarge Zementwerke GmbH,Lafarge SA,high,0.5266588708135816,0.4324324324324324,698746.5218000001,1090132.28,1883.1218762510005,benchmark,0.0,0.0,188.3121876251,1129.8731257506,564.9365628753001,523089.41006972233,0.8721971941922848,country,284407.5526906032,35.03897925470447,0.107631858365646,31.42351687359258,3.507830522746245,0.0,5.34110798292404,3.405088643384506,,0.0204853898925781,0.0,,,,0.1595706974885844,874.9999999999999,284407.5526906032,True,True,True,0.85,1.6,Kiln η 50–60% (low); high ≈ Hotmaps/METHODS SEC gap (~+60%),241746.4197870127,455052.0843049651
44375330,Mondi Neusiedler GmbH,Chemical wood pulp; Mechanical and semi-chemical wood pulp,AUT,manufacturing,pulp-and-paper,48.0732305,14.8091594,2024,t of pulp & paper,337999.99999,0.7693467454961346,151082.77519,260039.19997,climate_trace,2024.0,1.0,2730.4115996849996,2320.8498597322496,644680.5165922915,production_sec,,True,21.0,Mondi Neusiedler GmbH,Mondi,high,0.3384405752616202,1.0,260039.19997,,1537.4817698226248,benchmark,35.755389995875,1451.6688338325248,35.755389995875,14.302155998349996,0.0,427078.2693951735,0.3210698503623658,country,206987.47699381973,28.416716387600523,0.2641901129760742,19.788684360148345,8.363841914476103,0.0,6.53330955236098,5.097547494252883,,0.0006015963745117,,,,Integrated,0.1545876974885844,158.13953488372093,206987.47699381973,True,True,True,0.7,1.15,Low: high-biomass countries (fossil share); high: SEC + fossil-share upside,144891.2338956738,238035.59854289267
18648341,"OMV AG , Schwechat ",Flex Integrated,AUT,manufacturing,petrochemical-steam-cracking,48.139922,16.512808,2024,t of ethylene,500000.00004,0.7535149998597187,626939.1607500002,376757.49996,climate_trace,2024.0,1.0,13525.594248564,12173.0348237076,3381398.562141,production_sec,,False,13.0,Borealis Polyolefine GmbH,Borealis AG,high,0.695602730470296,0.1904761904761904,376757.49996,,13525.594248564,benchmark,0.0,0.0,0.0,13525.594248564,0.0,3757109.51349,0.8551023208132043,country,2891441.758081201,25.047162586873135,0.0312450339355468,20.93476070964188,4.081156843295708,0.0,3.0125826291324382,9.63909916079126,,1.0475743420797907,0.0,,,,0.1579652397260274,750.0,2891441.758081201,True,True,True,0.47,1.0,Low: external fuel only 17 GJ/t vs base total duty 35.9; high = base,1358977.6262981645,2891441.758081201
