source_id,source_name,source_type,iso3_country,country_corrected,classification,nace_used,lat,lon,keep_in_analysis,in_heat_workbook,status_flag,annual_output_t,annual_capacity_t,capacity_factor,annual_emissions_co2e_t,sec_mwh_per_t,fossil_share,fossil_share_source,replace_frac,heat_demand_mwh_th,replaceable_heat_mwh_th,available_land_km2,bare_sparse_km2,cropland_km2,tree_cover_km2,built_up_km2,solar_year,annual_yield_kwh_per_kwp,solar_capacity_factor,pvgis_raddatabase,tilt_deg,azimuth_deg,system_loss_pct,has_replaceable_heat,has_land_data,has_solar_data,sector,subsector,gas,activity_units,capacity_units,emissions_factor,emissions_factor_units,temporal_granularity,year,months_reported,shrubland_km2,grassland_km2,snow_ice_km2,water_km2,wetland_km2,mangroves_km2,moss_lichen_km2
44375513,Sappi Stockstadt Mill,"Pulp misc. (known types include chemical wood pulp, mechanical and semi-chemical wood pulp)",DEU,Germany,Integrated,C17,49.97624,9.0697,False,True,CLOSED|DUPLICATE,164844.49998,199499.99999,0.826288220666294,95774.654497,5.0,0.3814254468854693,country,1.0,0.0,,6.881970752926576,0.1362060100708007,6.745764742855775,15.37597632866067,12.16058876487128,2023,1246.64013,0.1423105171232876,PVGIS-ERA5,49.97624,0,0.0,False,True,True,manufacturing,pulp-and-paper,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000023635,t of CO2e_100yr per t of pulp & paper,month,2024,12,,6.003066558553059,,1.780112658357269,,,
44375509,Sprick GmbH Bielefelder Papier- und Wellpappenwerke & Co.- Hauptverwaltung,Pulp misc.,DEU,Germany,Paper/Board,C17xP,52.0249437,8.5625952,True,True,,164844.49998,199499.99999,0.826288220666294,95774.654497,1.3,0.4109911762686635,country,1.0,214297.849974,88074.52543265984,0.5626968080789008,0.0236000492594401,0.5390967588194606,15.04469720896499,19.422453349530628,2023,1138.2416899999998,0.1299362659817351,PVGIS-ERA5,52.0249437,0,0.0,True,True,True,manufacturing,pulp-and-paper,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000023635,t of CO2e_100yr per t of pulp & paper,month,2024,12,,2.4707207945824723,,0.0460385069580078,,,
44375505,ZS Zellstoff Stendal GmbH - Mercer Stendal,Chemical wood pulp; Pulp from fibres other than wood,DEU,Germany,Pulp,C1711,52.726328,12.011216,True,True,,275672.1582,333627.11863000004,0.826288220588011,160165.52388,3.3,0.1231966956799959,country,1.0,909718.12206,112074.26663800319,32.95540432553427,0.0152900819702148,32.940114243564054,6.767672951077333,1.7868086064824122,2023,1168.69462,0.1334126278538812,PVGIS-ERA5,52.726328,0,0.0,True,True,True,manufacturing,pulp-and-paper,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999830401,t of CO2e_100yr per t of pulp & paper,month,2024,12,,9.796321521419747,,0.010920478149414,0.0038220009765625,,
44375519,Grupo Empresarial ENCE S.A. Divisíon de Celulosa - Pulp Mill Navia,Pulp misc.,ESP,Spain,Pulp,C1711,43.5275013,-6.7240832,True,True,,361371.86293,684999.9999599999,0.527550164902795,209957.05235,3.3,0.6837669990211257,country,1.0,1192527.1476689999,815410.7090128548,4.690444588595761,0.0156518173217773,4.674792771273983,4.065412448080863,1.6239704912547397,2023,1623.19879,0.1852966655251141,PVGIS-ERA5,43.5275013,0,0.0,True,True,True,manufacturing,pulp-and-paper,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999839257,t of CO2e_100yr per t of pulp & paper,month,2024,12,0.0,9.765849158455644,,0.0065220761108398,0.0,,
44375518,Grupo Empresarial ENCE S.A. Divisíon de Celulosa - Pulp Mill Pontevedra,Pulp misc.,ESP,Spain,Pulp,C1711,42.4108321,-8.6759041,True,True,,271688.33489,514999.99999,0.527550164788743,157850.92261,3.3,0.6837669990211257,country,1.0,896571.505137,613046.0074753803,0.1611326113482306,0.1009399728393554,0.0601926385088752,5.025532719107835,5.960539058280198,2023,1659.9290500000002,0.1894896175799087,PVGIS-ERA5,42.4108321,0,0.0,True,True,True,manufacturing,pulp-and-paper,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000282463,t of CO2e_100yr per t of pulp & paper,month,2024,12,0.0059738957519531,5.966735374689797,,16.093565523008337,0.2511404348036822,,
44375517,Smurfit Kappa Nervión Pulp Mill,Pulp misc.,ESP,France,Integrated,C17,43.1828069,-2.6605848,True,True,,171453.80357,324999.99996,0.527550164850032,99614.659884,5.0,0.3277219901638944,country,1.0,857269.01785,280945.90863564913,0.1344737206957049,0.0439545202636718,0.0905192004320331,4.414807054068532,3.972558686460488,2023,1528.9746100000002,0.1745404805936073,PVGIS-ERA5,43.1828069,0,0.0,True,True,True,manufacturing,pulp-and-paper,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000132901,t of CO2e_100yr per t of pulp & paper,month,2024,12,0.0,3.4173381999207737,,,,,
44375520,Estonian Cell AS - Heinzel Group,Mechanical wood pulp; Semi-chemical wood pulp,EST,France,Paper/Board,C17xP,59.501988,26.5481615,False,True,,82573.584905,140000.00003,0.589811320590826,47975.252832,1.3,0.4363863515360097,country,1.0,0.0,,10.090666486129106,0.2075238153686523,9.883142670760453,20.88572639985199,1.2633762415179084,2023,1150.5290799999998,0.1313389360730593,PVGIS-ERA5,59.501988,0,0.0,False,True,True,manufacturing,pulp-and-paper,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000065914,t of CO2e_100yr per t of pulp & paper,month,2024,12,0.0004580311889648,15.063681426235668,,13.16197424728082,1.0447856423034667,,
44375534,Aanekoski Bioproduct Pulp Mill,Pulp misc.,FIN,Italy,Tissue,C17xP,62.596,25.741,True,True,,980162.62003,1285255.4916,0.762620838091099,569474.48226,2.6,0.3910499385562987,country,1.0,2548422.812078,996560.5840785719,2.8187884162908814,0.1326645155944824,2.686123900696399,14.860332101216626,2.524426408887078,2023,1016.59517,0.1160496769406392,PVGIS-ERA5,62.596,0,0.0,True,True,True,manufacturing,pulp-and-paper,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000022765,t of CO2e_100yr per t of pulp & paper,month,2024,12,,1.5401116116767437,,23.1239426550718,0.2001249975891113,,
44375535,Enocell Pulp Mill,Pulp misc.,FIN,Italy,Integrated,C17,62.919186,30.230598,True,True,NEEDS_VERIFICATION,475001.88505,622854.58452,0.762620837780303,275976.09523,5.0,0.6969017823625544,country,1.0,2375009.42525,1655148.301584591,0.3200769853119495,0.0197438481445312,0.3003331371674183,32.79506067916507,1.0693964642937157,2023,982.45305,0.1121521746575342,PVGIS-ERA5,62.919186,0,0.0,True,True,True,manufacturing,pulp-and-paper,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000047225,t of CO2e_100yr per t of pulp & paper,month,2024,12,0.004113401763916,2.864517864680032,,19.408592906752048,0.4000866887533748,,0.0004107937011718
44375536,Kaskinen Pulp Mill,Pulp misc.,FIN,Italy,Paper/Board,C17xP,62.22108,21.144193,True,True,,294048.78599,385576.64754,0.762620837765722,170842.34467,1.3,0.3910499385562987,country,1.0,382263.421787,149484.08760212685,0.0,0.0,0.0,,,2023,1205.9836299999995,0.1376693641552511,PVGIS-ERA5,62.22108,0,0.0,True,True,True,manufacturing,pulp-and-paper,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000173052,t of CO2e_100yr per t of pulp & paper,month,2024,12,,,,78.06998266998906,,,
44375525,Metsä Board Cartonboard Division Joutseno Mill,Mechanical wood pulp; Semi-chemical wood pulp,FIN,Spain,Integrated,C17,61.1282381,28.4669153,True,True,COUNTRY_CORRECTED,485789.47367,636999.99997,0.762620837802038,282243.68419,5.0,0.3339559175150154,country,1.0,2428947.36835,811161.3469930064,7.4052034467652526,0.0708069130624808,7.334396533702772,16.702717805150293,2.75450425722381,2023,1104.86809,0.1261264942922374,PVGIS-ERA5,61.1282381,0,0.0,True,True,True,manufacturing,pulp-and-paper,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000005833,t of CO2e_100yr per t of pulp & paper,month,2024,12,0.0056677073974609,1.8309350260288615,,21.03562325522564,0.1504154972839355,,
44375524,Metsä Board Linerboard and Paper Division Kaskinen Mill,Mechanical wood pulp; Semi-chemical wood pulp,FIN,France,Pulp,C1711,62.3822834,21.2277852,True,True,NEEDS_VERIFICATION,485789.47367,636999.99997,0.762620837802038,282243.68419,3.3,0.0,country,1.0,1603105.263111,0.0,0.2126957923889159,0.0628586514587402,0.1498371409301757,19.03801111556219,1.2875461081237791,2023,1185.0266,0.1352770091324201,PVGIS-ERA5,62.3822834,0,0.0,True,True,True,manufacturing,pulp-and-paper,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000005833,t of CO2e_100yr per t of pulp & paper,month,2024,12,0.003765046875,2.007649783834539,,28.018394610107176,1.205350465143061,,
