source_id,source_name,iso3_country,subsector,replaceable_heat_mwh_th,available_land_km2,solar_capacity_factor,green_lcoh_eur_mwh,gas_benchmark_eur_mwh,lcoh_ratio_vs_gas,below_gas,hp_heat_share,ihb_heat_share,pv_required_mwdc,land_required_km2,local_fit_fraction,land_matched_heat_mwh,green_and_local_heat_mwh,low_temp_hp_solar,steam_hp_solar,ihb_solar
38475746,Westbridge Unit 3,GBR,textiles-leather-apparel,35525.531246039965,41.112896942748065,0.1291661061643835,59.05619967793881,72.53882352941176,0.8141323060470335,True,0.9,0.1,16.46352480061904,0.32927049601238084,1.0,35525.531246039965,35525.531246039965,50.93397745571659,67.40096618357488,74.52173913043478
38481185,Whittlesey Food Factory,GBR,food-beverage-tobacco,32220.415103809275,49.524100132797194,0.1359607043378995,60.580896874993414,72.53882352941176,0.8351513565756983,True,0.8354521625163828,0.16454783748361732,15.343647169596414,0.3068729433919283,1.0,32220.415103809275,32220.415103809275,50.93397745571659,67.40096618357488,74.52173913043478
38474929,Who'S Who Limited,GBR,textiles-leather-apparel,35525.531246039965,21.27112192431472,0.1320410136986301,59.05619967793881,72.53882352941176,0.8141323060470335,True,0.9,0.1,16.10506715050145,0.322101343010029,1.0,35525.531246039965,35525.531246039965,50.93397745571659,67.40096618357488,74.52173913043478
38481040,Willand Abattoir ,GBR,food-beverage-tobacco,32220.41510380929,46.067839248972966,0.1397946232876712,60.58089687499339,72.53882352941176,0.8351513565756981,True,0.8354521625163827,0.16454783748361723,14.92284200371337,0.2984568400742674,1.0,32220.41510380929,32220.41510380929,50.93397745571659,67.40096618357488,74.52173913043478
38480886,Wissington Sugar Factory ,GBR,food-beverage-tobacco,545165.1496266272,64.35141967811282,0.1391252499999999,60.58089687499341,72.53882352941176,0.8351513565756982,True,0.8354521625163827,0.1645478374836173,253.707324387855,5.0741464877571,1.0,545165.1496266272,545165.1496266272,50.93397745571659,67.40096618357488,74.52173913043478
38480959,Wombwell Meat Factory   ,GBR,food-beverage-tobacco,32220.415103809275,29.65662365939557,0.1316643652968036,60.580896874993414,72.53882352941176,0.8351513565756983,True,0.8354521625163828,0.16454783748361732,15.844325619828066,0.3168865123965613,1.0,32220.415103809275,32220.415103809275,50.93397745571659,67.40096618357488,74.52173913043478
38481164,Woodside Road,GBR,food-beverage-tobacco,32220.415103809275,53.993926257749024,0.1371062283105022,60.580896874993414,72.53882352941176,0.8351513565756983,True,0.8354521625163828,0.16454783748361732,15.215450836894991,0.30430901673789984,1.0,32220.415103809275,32220.415103809275,50.93397745571659,67.40096618357488,74.52173913043478
38480883,Wyke Farmhouse Cheese ,GBR,food-beverage-tobacco,32220.415103809275,46.33721714204029,0.1372745468036529,60.580896874993414,72.53882352941176,0.8351513565756983,True,0.8354521625163828,0.16454783748361732,15.196794488598044,0.3039358897719609,1.0,32220.415103809275,32220.415103809275,50.93397745571659,67.40096618357488,74.52173913043478
38481127,Yelo Enterprises Ltd,GBR,food-beverage-tobacco,32220.41510380929,57.16278594302236,0.1307232180365296,60.58089687499339,72.53882352941176,0.8351513565756981,True,0.8354521625163827,0.16454783748361723,15.958397502940855,0.3191679500588171,1.0,32220.41510380929,32220.41510380929,50.93397745571659,67.40096618357488,74.52173913043478
38481068,Yeo Valley Farms (Production) Ltd,GBR,food-beverage-tobacco,32220.41510380929,37.464412251469625,0.141202551369863,60.58089687499339,72.53882352941176,0.8351513565756981,True,0.8354521625163827,0.16454783748361723,14.774046616382828,0.29548093232765654,1.0,32220.41510380929,32220.41510380929,50.93397745571659,67.40096618357488,74.52173913043478
