source_id,source_name,source_type,iso3_country,sector,subsector,lat,lon,year,capacity_units,annual_capacity_t,capacity_factor,annual_emissions_co2e_t,production_t,production_source,production_year,data_tier,fuel_energy_tj,useful_heat_tj,useful_heat_mwh,heat_method,food_country_scale,ct_country_artifact,SiteID,SiteName,CompanyName,match_confidence,distance_km,name_similarity,annual_output_t,production_2014_t,bench_heat_tj,band_source,heat_below100C_tj,heat_100C-200C_tj,heat_200C-500C_tj,heat_500C-1000C_tj,heat_above1000C_tj,bench_heat_mwh,fossil_share,fossil_share_basis,replaceable_heat_mwh
38480615,"""Pfeifer & Langen Polska"" S.A., Cukrownia ""Gosławice""",Animal And Vegetable Products From The Food And Beverage Sector,POL,manufacturing,food-beverage-tobacco,52.315871,18.278029,2024,USD,,,35923.84003124941,,none,,3.0,269.1653341854825,228.79053405766012,63552.92612712781,emissions_fuel_inversion,0.4362979401975566,False,,,,unmatched,,,,,228.79053405766012,benchmark,111.03687386835064,80.1066725733996,16.911908415271334,20.735079200638527,0.0,63552.92612712781,0.9736538923704254,country,61878.5538952081
38480737,"""Rotr"" Spółdzielnia Mleczarska",Animal And Vegetable Products From The Food And Beverage Sector,POL,manufacturing,food-beverage-tobacco,53.07415,19.402928,2024,USD,,,35923.84003124941,,none,,3.0,269.1653341854825,228.79053405766012,63552.92612712781,emissions_fuel_inversion,0.4362979401975566,False,,,,unmatched,,,,,228.79053405766012,benchmark,111.03687386835064,80.1066725733996,16.911908415271334,20.735079200638527,0.0,63552.92612712781,0.9736538923704254,country,61878.5538952081
38480805,"""Wielkopolski Indyk"" W.Z.H.G. Glinkowscy S.J.",Animal And Vegetable Products From The Food And Beverage Sector,POL,manufacturing,food-beverage-tobacco,52.213753,16.757011,2024,USD,,,35923.84003124941,,none,,3.0,269.1653341854825,228.79053405766012,63552.92612712781,emissions_fuel_inversion,0.4362979401975566,False,,,,unmatched,,,,,228.79053405766012,benchmark,111.03687386835064,80.1066725733996,16.911908415271334,20.735079200638527,0.0,63552.92612712781,0.9736538923704254,country,61878.5538952081
38480730,"""Zakłady Drobiarskie Rowex"" Sp. Z O.O.",Animal And Vegetable Products From The Food And Beverage Sector,POL,manufacturing,food-beverage-tobacco,52.618039,16.465208,2024,USD,,,35923.84003124941,,none,,3.0,269.1653341854825,228.79053405766012,63552.92612712781,emissions_fuel_inversion,0.4362979401975566,False,,,,unmatched,,,,,228.79053405766012,benchmark,111.03687386835064,80.1066725733996,16.911908415271334,20.735079200638527,0.0,63552.92612712781,0.9736538923704254,country,61878.5538952081
38469181,91-Plus Huta Szkła Szczakowa Sp. Z O.O. W Upadłości,Glass Manufacturing,POL,manufacturing,glass,50.245806,19.285611,2024,USD,,,33709.942361503905,,none,,,,,,,,False,,,,unmatched,,,,,,,,,,,,,0.9997276707798296,country,
38475890,A-Ha Ppuh Magdalena Kozlowska,Cutting|Product Finishing|Sewing,POL,manufacturing,textiles-leather-apparel,51.76224509999999,19.5039626,2024,USD,,,6465.2775927978655,,none,,3.0,111.0300118976106,94.375510112969,26215.41947582472,emissions_fuel_inversion,,False,,,,unmatched,,,,,94.375510112969,external,51.90653056213295,33.03142853953915,9.4375510112969,0.0,0.0,26215.41947582472,0.992199768087474,country,26010.933124229137
38480726,Abp Poland Sp. Z O. O.,Animal And Vegetable Products From The Food And Beverage Sector,POL,manufacturing,food-beverage-tobacco,51.516903,16.252672,2024,USD,,,35923.84003124941,,none,,3.0,269.1653341854825,228.79053405766012,63552.92612712781,emissions_fuel_inversion,0.4362979401975566,False,,,,unmatched,,,,,228.79053405766012,benchmark,111.03687386835064,80.1066725733996,16.911908415271334,20.735079200638527,0.0,63552.92612712781,0.9736538923704254,country,61878.5538952081
38480756,Abp Poland Sp. Z O.O. Oddział Tykocin,Animal And Vegetable Products From The Food And Beverage Sector,POL,manufacturing,food-beverage-tobacco,53.198888,22.765277,2024,USD,,,35923.84003124941,,none,,3.0,269.1653341854825,228.79053405766012,63552.92612712781,emissions_fuel_inversion,0.4362979401975566,False,,,,unmatched,,,,,228.79053405766012,benchmark,111.03687386835064,80.1066725733996,16.911908415271334,20.735079200638527,0.0,63552.92612712781,0.9736538923704254,country,61878.5538952081
38480755,Abp Poland Sp. Z O.O. Oddział W Kłosowicach,Animal And Vegetable Products From The Food And Beverage Sector,POL,manufacturing,food-beverage-tobacco,52.63005,16.031171,2024,USD,,,35923.84003124941,,none,,3.0,269.1653341854825,228.79053405766012,63552.92612712781,emissions_fuel_inversion,0.4362979401975566,False,,,,unmatched,,,,,228.79053405766012,benchmark,111.03687386835064,80.1066725733996,16.911908415271334,20.735079200638527,0.0,63552.92612712781,0.9736538923704254,country,61878.5538952081
38475871,Adb Furniture Sp. Z O.O.,Final Product Assembly,POL,manufacturing,textiles-leather-apparel,54.0990134,22.9560741,2024,USD,,,6465.277592797866,,none,,3.0,111.0300118976106,94.375510112969,26215.419475824725,emissions_fuel_inversion,,False,,,,unmatched,,,,,94.375510112969,external,51.90653056213295,33.03142853953915,9.4375510112969,0.0,0.0,26215.41947582472,0.992199768087474,country,26010.93312422914
