source_id,source_name,source_type,iso3_country,sector,subsector,lat,lon,capacity_units,capacity,capacity_factor,annual_emissions_co2e_t,year,annual_capacity_t,annual_output_t,distance_km,SiteID,CompanyName,SiteName,City,Country,Subsector,Emissions_ETS_2014,production_2014_t,Fuel_Demand,Excess_Heat_Total,hm_lat,hm_lon,name_similarity,match_confidence,output_ratio_2024_2014
18648342,"BASF Antwerpen, NV Antwerp ",Flex Standalone,BEL,manufacturing,petrochemical-steam-cracking,51.358825,4.262207,t of ethylene,1080000.0,0.753515,1409391.79809,2024,1080000.0,813796.2000000001,0.4554957110276963,57.0,STYROLUTION BELGIUM,STYROLUTION BELGIUM,Antwerpen,Belgium,Chemical industry,112505.0,,,0.0,51.35627,4.2673345,0.2926829268292683,high,
33999004,BEL-Antwerpen_ammonia,ammonia,BEL,manufacturing,chemicals,51.2319382905994,4.72070443222579,t of chemical,810156.0,0.5759307040176926,923855.5565794326,2024,810156.0,466593.7154441578,,,,,,,,,,,,,,,unmatched,
33998943,BEL-Hainaut_ammonia,ammonia,BEL,manufacturing,chemicals,50.4636955021351,3.97003361295229,t of chemical,231636.0,0.5759307040176925,264144.44342056767,2024,231636.0,133406.28455584223,,,,,,,,,,,,,,,unmatched,
38470810,Belimtex Bvba,Trader Of Yarns,BEL,manufacturing,textiles-leather-apparel,50.9068366,3.4059296,USD,,,14457.116642619272,2024,,,,,,,,,,,,,,,,,unmatched,
38480772,Beneo - Orafti,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.7245,5.3524,USD,,,103904.33440117889,2024,,,,,,,,,,,,,,,,,unmatched,
38480213,Boortmalt,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.275116,4.355684,USD,,,57693.59206699895,2024,,,,,,,,,,,,,,,,,unmatched,
44375332,Burgo Ardennes S.A.,Chemical wood pulp; Mechanical and semi-chemical wood pulp,BEL,manufacturing,pulp-and-paper,49.5518274,5.5054045,t of pulp & paper,450000.0,0.7217555555999999,188702.99004,2024,450000.0,324790.00002,0.23126218690253042,51.0,Burgo Ardennes,BURGO ARDENNES sa,Harnoncourt,Belgium,Paper and printing,93352.0,271421.21,414.67,41.46,49.5499,5.5042,0.875,high,1.1966271907048087
38480849,Cargill,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.135671,3.784262,USD,,,57693.59206699895,2024,,,,,,,,,,,,,,,,,unmatched,
38480835,Cargill,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.280546,4.341369,USD,,,57693.59206699895,2024,,,,,,,,,,,,,,,,,unmatched,
38480248,Citrique Belge,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.80137,4.961948,USD,,,57693.59206699895,2024,,,,,,,,,,,,,,,,,unmatched,
38480243,Cl Warneton Sa,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.7424,2.9349,USD,,,57693.59206699895,2024,,,,,,,,,,,,,,,,,unmatched,
38480247,Coca-Cola European Partners Belgium,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.157,4.3745,USD,,,57693.59206699895,2024,,,,,,,,,,,,,,,,,unmatched,
38474256,Cousy Bvba,Final Product Assembly,BEL,manufacturing,textiles-leather-apparel,50.8802686,3.8167968,USD,,,14457.116642619272,2024,,,,,,,,,,,,,,,,,unmatched,
38480245,Deliva,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.916733,5.491459,USD,,,57693.59206699895,2024,,,,,,,,,,,,,,,,,unmatched,
38479106,Devan Chemicals,Agent | Factory Processing |  Manufacturer | Finished Product Supplier | Labour Provider | Packhouse | Service Provider | Sub-Contractor,BEL,manufacturing,textiles-leather-apparel,50.7516001,3.6437709,USD,,,14457.116642619272,2024,,,,,,,,,,,,,,,,,unmatched,
38469208,Durobor Glassware Sa,Glass Manufacturing,BEL,manufacturing,glass,50.5686,4.0751,USD,,,46519.50737093649,2024,,,0.6133071501808554,1739.0,Durobor Group,Durobor,Soignies,Belgium,Glass,16250.0,,,0.0,50.56337,4.077858,0.6666666666666666,high,
38469187,Emgo,Glass Manufacturing,BEL,manufacturing,glass,51.214036,5.290523,USD,,,46519.50737093649,2024,,,1.2905348015705995,1696.0,DUCATT,DUCATT NV,Lommel,Belgium,Glass,30285.0,30919.44,93.78,18.75,51.223111,5.302074,0.0,low,
38480211,Exportslachthuis Tielt,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.00576,3.31441,USD,,,57693.59206699895,2024,,,,,,,,,,,,,,,,,unmatched,
38480215,Friesland Foods Belgie/Belgique,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.10239,4.244851,USD,,,57693.59206699895,2024,,,,,,,,,,,,,,,,,unmatched,
1895170,Gaurain Cement Plant,integrated dry,BEL,manufacturing,cement,50.6033470668449,3.49006699801599,t of cement,2300000.0004,0.4555391628259932,823156.9896430001,2024,2300000.0004,1047740.074682,0.36467131493217575,43.0,CCB Italcementi-Group,CCB sa - Site de Gaurain-Ramecroix,Gaurain,Belgium,Cement,1302434.0,1644469.1,1598.78,239.81,50.6004,3.4878,0.46511627906976744,high,0.6371296819636197
38469225,Gerresheimer Momignies Sa,Glass Manufacturing,BEL,manufacturing,glass,50.0269,4.1517,USD,,,46519.50737093649,2024,,,0.5149569369848673,1740.0,Gerresheimer Momignies,Gerresheimer Momignies,Momignies,Belgium,Glass,19345.0,28810.54,46.25,9.25,50.026594,4.158893,1.0,high,
38471111,Groep Masureel Veredeling Nv,Dyeing Mill,BEL,manufacturing,textiles-leather-apparel,50.8118808,3.2196556,USD,,,14457.116642619272,2024,,,,,,,,,,,,,,,,,unmatched,
38480214,Inex,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.942036,3.866163,USD,,,57693.59206699895,2024,,,,,,,,,,,,,,,,,unmatched,
38471018,Interspinning Nv,Yarn Trader,BEL,manufacturing,textiles-leather-apparel,51.08813019999999,3.6767186,USD,,,14457.116642619272,2024,,,,,,,,,,,,,,,,,unmatched,
38480628,Isera And Scaldis Sugar,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.172178,3.925505,USD,,,57693.59206699895,2024,,,,,,,,,,,,,,,,,unmatched,
38468968,Knauf Insulation,Glass Manufacturing,BEL,manufacturing,glass,50.748352,5.701382,USD,,,46519.50737093649,2024,,,0.15298815167676105,1733.0,Knauf,Knauf Visé,Visé,Belgium,Glass,27926.0,,,0.0,50.748142,5.703531,0.64,high,
38480844,Konings Juices And Drinks,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.801774,5.292077,USD,,,57693.59206699895,2024,,,,,,,,,,,,,,,,,unmatched,
38480210,Kraft Foods Belgium Production,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.17418,4.82904,USD,,,57693.59206699895,2024,,,,,,,,,,,,,,,,,unmatched,
38472870,Lampe Textiles,Weaving|Finishing|Packing|Shipping,BEL,manufacturing,textiles-leather-apparel,51.0043056,3.35593,USD,,,14457.116642619272,2024,,,,,,,,,,,,,,,,,unmatched,
38480212,Leaf België Production Nv,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.299,4.939429,USD,,,57693.59206699895,2024,,,,,,,,,,,,,,,,,unmatched,
38467373,Lhoist Industrie Sa - Site De On,Lime Production In Rotary Kilns,BEL,manufacturing,lime,50.1649,5.268,t of lime,1965685.0373952172,0.5300950948558751,419399.8939734195,2024,1965685.0373952172,1041999.9963547922,,,,,,,,,,,,,,,unmatched,
38476375,Libeco Lagae Nv.,Warping|Weaving|Finishing,BEL,manufacturing,textiles-leather-apparel,50.9567532,3.297014,USD,,,14457.116642619272,2024,,,,,,,,,,,,,,,,,unmatched,
32437252,Lixhe Cement Plant,integrated dry,BEL,manufacturing,cement,50.7655332494607,5.67383641398411,t of cement,1499999.9999000002,0.5612794489374185,288016.339579,2024,1499999.9999000002,841919.1733499999,0.6004332697926358,29.0,S.A. Cimenteries CBR,CBR sa - Site de Lixhe,Visé,Belgium,Cement,987407.0,1308538.77,1272.19,190.82,50.7602,5.6725,0.3870967741935484,high,0.6434040722767427
38480241,Manshoven Vers,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.88159,5.296548,USD,,,57693.59206699895,2024,,,,,,,,,,,,,,,,,unmatched,
38480638,Mars Belgium,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.145015,4.870171,USD,,,57693.59206699895,2024,,,,,,,,,,,,,,,,,unmatched,
