source_id,source_name,source_type,iso3_country,sector,subsector,lat,lon,year,capacity_units,annual_capacity_t,capacity_factor,annual_emissions_co2e_t,production_t,production_source,production_year,data_tier,fuel_energy_tj,useful_heat_tj,useful_heat_mwh,heat_method,food_country_scale,ct_country_artifact,SiteID,SiteName,CompanyName,match_confidence,distance_km,name_similarity,annual_output_t,production_2014_t
38480749,Wielkopolska Wytwórnia Żywności Profi Spółka Z Ograniczoną Odpowiedzialnością,Animal And Vegetable Products From The Food And Beverage Sector,POL,manufacturing,food-beverage-tobacco,51.51,18.113056,2024,USD,,,35923.84003124941,,none,,3,269.16533418548255,228.79053405766015,63552.926127127816,emissions_fuel_inversion,0.46023700801365136,False,,,,unmatched,,,,
45257204,Wloclawek Chemicals,soda_ash,POL,manufacturing,chemicals,52.7005841,18.9672988,2024,t of chemical,217999.99999999997,0.8307717869901137,76971.00606463403,181108.24956384476,climate_trace,2024,1,1811.0824956384477,1539.4201212926805,427616.7003590779,production_sec,,False,804.0,ANWIL S.A.,Orlen S.A.,high,0.6363689289244695,0.2142857142857142,181108.24956384476,
38480675,Zakład Grąbkowo,Animal And Vegetable Products From The Food And Beverage Sector,POL,manufacturing,food-beverage-tobacco,51.676097,17.104625,2024,USD,,,35923.84003124941,,none,,3,269.16533418548255,228.79053405766015,63552.926127127816,emissions_fuel_inversion,0.46023700801365136,False,,,,unmatched,,,,
38469192,Zakład Isover W Gliwicach,Glass Manufacturing,POL,manufacturing,glass,50.263686,18.704358,2024,USD,,,33709.942361503905,,none,,,,,,,,False,4483.0,PIEC SZYBOWY Z URZĄDZ. DO PRODUKCJI WEŁNY SKALNEJ,Saint-Gobain Construction Products Polska Spółka z o.o.,high,0.2271307266392119,0.1917808219178082,,
38480753,Zakład Olejów Roślinnych Komagra,Animal And Vegetable Products From The Food And Beverage Sector,POL,manufacturing,food-beverage-tobacco,50.104963,19.023402,2024,USD,,,35923.84003124941,,none,,3,269.16533418548255,228.79053405766015,63552.926127127816,emissions_fuel_inversion,0.46023700801365136,False,,,,unmatched,,,,
38480787,Zakład Produkcji Karmy,Animal And Vegetable Products From The Food And Beverage Sector,POL,manufacturing,food-beverage-tobacco,53.143616,17.244736,2024,USD,,,35923.84003124941,,none,,3,269.16533418548255,228.79053405766015,63552.926127127816,emissions_fuel_inversion,0.46023700801365136,False,,,,unmatched,,,,
38480760,"Zakład Produkcji Karmy ""Dolina Noteci"" ",Animal And Vegetable Products From The Food And Beverage Sector,POL,manufacturing,food-beverage-tobacco,53.14426,17.244634,2024,USD,,,35923.84003124941,,none,,3,269.16533418548255,228.79053405766015,63552.926127127816,emissions_fuel_inversion,0.46023700801365136,False,,,,unmatched,,,,
38480627,"Zakład Produkcyjny ""Cukrownia Strzelin""",Animal And Vegetable Products From The Food And Beverage Sector,POL,manufacturing,food-beverage-tobacco,50.766678,17.05228,2024,USD,,,35923.84003124941,,none,,3,269.16533418548255,228.79053405766015,63552.926127127816,emissions_fuel_inversion,0.46023700801365136,False,,,,unmatched,,,,
38469211,Zakład Produkcyjny Antoninek,Glass Manufacturing,POL,manufacturing,glass,52.407609,17.033004,2024,USD,,,33709.942361503905,,none,,,,,,,,False,4424.0,Instalacje do wytwarzania szkła,O-I Produkcja Polska S.A.,high,0.0788340818968552,0.4615384615384615,,
38469210,Zakład Produkcyjny Jarosław,Glass Manufacturing,POL,manufacturing,glass,50.002352,22.709862,2024,USD,,,174215.5143264953,293120.6,hotmaps,2014,2,1905.2839,857.377755,238160.4875,production_sec,,False,781.0,O-I Produkcja Polska S.A.,O-I Europe,high,0.0,0.5882352941176471,,293120.6
