source_id,source_name,source_type,iso3_country,sector,subsector,lat,lon,capacity_units,capacity,capacity_factor,annual_emissions_co2e_t,year,annual_capacity_t,annual_output_t
38479106,Devan Chemicals,Agent | Factory Processing |  Manufacturer | Finished Product Supplier | Labour Provider | Packhouse | Service Provider | Sub-Contractor,BEL,manufacturing,textiles-leather-apparel,50.7516001,3.6437709,USD,,,14457.116642619272,2024,,
38469208,Durobor Glassware Sa,Glass Manufacturing,BEL,manufacturing,glass,50.5686,4.0751,USD,,,46519.50737093649,2024,,
38469187,Emgo,Glass Manufacturing,BEL,manufacturing,glass,51.214036,5.290523,USD,,,46519.50737093649,2024,,
38480211,Exportslachthuis Tielt,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.00576,3.31441,USD,,,57693.59206699895,2024,,
38480215,Friesland Foods Belgie/Belgique,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.10239,4.244851,USD,,,57693.59206699895,2024,,
1895170,Gaurain Cement Plant,integrated dry,BEL,manufacturing,cement,50.6033470668449,3.49006699801599,t of cement,2300000.0004,0.4555391628259932,823156.9896430001,2024,2300000.0004,1047740.074682
38469225,Gerresheimer Momignies Sa,Glass Manufacturing,BEL,manufacturing,glass,50.0269,4.1517,USD,,,46519.50737093649,2024,,
38471111,Groep Masureel Veredeling Nv,Dyeing Mill,BEL,manufacturing,textiles-leather-apparel,50.8118808,3.2196556,USD,,,14457.116642619272,2024,,
38480214,Inex,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.942036,3.866163,USD,,,57693.59206699895,2024,,
38471018,Interspinning Nv,Yarn Trader,BEL,manufacturing,textiles-leather-apparel,51.08813019999999,3.6767186,USD,,,14457.116642619272,2024,,
38480628,Isera And Scaldis Sugar,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.172178,3.925505,USD,,,57693.59206699895,2024,,
38468968,Knauf Insulation,Glass Manufacturing,BEL,manufacturing,glass,50.748352,5.701382,USD,,,46519.50737093649,2024,,
38480844,Konings Juices And Drinks,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.801774,5.292077,USD,,,57693.59206699895,2024,,
38480210,Kraft Foods Belgium Production,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.17418,4.82904,USD,,,57693.59206699895,2024,,
38472870,Lampe Textiles,Weaving|Finishing|Packing|Shipping,BEL,manufacturing,textiles-leather-apparel,51.0043056,3.35593,USD,,,14457.116642619272,2024,,
38480212,Leaf België Production Nv,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.299,4.939429,USD,,,57693.59206699895,2024,,
38467373,Lhoist Industrie Sa - Site De On,Lime Production In Rotary Kilns,BEL,manufacturing,lime,50.1649,5.268,t of lime,1965685.0373952172,0.5300950948558751,419399.8939734195,2024,1965685.0373952172,1041999.9963547922
38476375,Libeco Lagae Nv.,Warping|Weaving|Finishing,BEL,manufacturing,textiles-leather-apparel,50.9567532,3.297014,USD,,,14457.116642619272,2024,,
32437252,Lixhe Cement Plant,integrated dry,BEL,manufacturing,cement,50.7655332494607,5.67383641398411,t of cement,1499999.9999000002,0.5612794489374185,288016.339579,2024,1499999.9999000002,841919.1733499999
38480241,Manshoven Vers,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.88159,5.296548,USD,,,57693.59206699895,2024,,
38480638,Mars Belgium,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.145015,4.870171,USD,,,57693.59206699895,2024,,
38472835,Mcthree Carpets,Finished Goods,BEL,manufacturing,textiles-leather-apparel,50.8619452,3.420825,USD,,,14457.116642619272,2024,,
32437253,Obourg Cement Plant,integrated wet,BEL,manufacturing,cement,50.4726674421383,3.99262683078541,t of cement,1699999.9998,0.4934130722462838,591351.3729500001,2024,1699999.9998,838802.2227199998
38480867,Olympia,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.742309,4.08667,USD,,,57693.59206699895,2024,,
38480873,Pb Leiner Vilvoorde,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.938433,4.418274,USD,,,57693.59206699895,2024,,
38480637,Raffinerie Tirlemontoise Sa - Site De Brugelette,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.5938,3.8574,USD,,,57693.59206699895,2024,,
38480647,Raffinerie Tirlemontoise Sa - Site De Hollogne,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.6744,5.2136,USD,,,57693.59206699895,2024,,
38480784,Raffinerie Tirlemontoise Sa - Site De Wanze,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.5286,5.2072,USD,,,57693.59206699895,2024,,
38469190,Saint-Gobain Glass Sa,Glass Manufacturing,BEL,manufacturing,glass,50.4499,4.6163,USD,,,134069.220243039,2024,,
38468966,Saverglass Md Verre,Glass Manufacturing,BEL,manufacturing,glass,50.4816,3.8833,USD,,,46519.50737093649,2024,,
38480217,Schildermans Pluimveeslachterij,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.141735,5.562029,USD,,,57693.59206699895,2024,,
38480650,Slachthuis Genk,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.966324,5.484406,USD,,,57693.59206699895,2024,,
38480218,Slachthuis Heist Op Den Berg,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.070156,4.699204,USD,,,57693.59206699895,2024,,
38480251,Slachthuis Heyst,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.069556,4.700937,USD,,,57693.59206699895,2024,,
38480209,Slachthuis Sint Truiden,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.82002,5.19318,USD,,,57693.59206699895,2024,,
38480242,Tecoma,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.273685,4.358077,USD,,,63281.876271932255,2024,,
38480863,Tereos Starch & Sweeteners Belgium,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.937207,4.045239,USD,,,214498.61850101736,2024,,
1566443,Thy Marcinelle Charleroi steel plant,EAF,BEL,manufacturing,iron-and-steel,50.4098301921851,4.4305388035139,t of steel,800000.0000000001,0.7901759607848469,50571.26149023021,2024,800000.0000000001,632140.7686278776
38480880,Tiense Suikerraffinaderij,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.794086,4.936095,USD,,,118904.33438616616,2024,,
18648343,"TotalEnergies Fina Antwerp Olefin, Antwerp",Flex Integrated,BEL,manufacturing,petrochemical-steam-cracking,51.254801,4.332047,t of ethylene,1160000.0000399998,0.7535149999395341,1454498.85324,2024,1160000.0000399998,874077.3999600001
38480938,Trotec,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.062185,2.672423,USD,,,57693.59206699895,2024,,
3673515,UMICORE - HOBOKEN,Non-ferrous crude metal production,BEL,manufacturing,other-metals,51.1677,4.3348,unitless,,,212999.9996762813,2024,,
38469278,Ursa Benelux,Glass Manufacturing,BEL,manufacturing,glass,50.890745,3.360928,USD,,,46519.50737093649,2024,,
38474877,Utexbel,Worsted Yarn | Short-Staple Spinning,BEL,manufacturing,textiles-leather-apparel,50.7477392,3.5862308,USD,,,14457.116642619272,2024,,
38480208,Vaco Olen,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.14898,4.899779,USD,,,57693.59206699895,2024,,
38480244,Vacos Kitchen Herselt,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.06432,4.891171,USD,,,57693.59206699895,2024,,
38480250,Vandamme Oliefabriek,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.974694,3.505533,USD,,,57693.59206699895,2024,,
38480898,Vandamme Oliefabriek,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.975382,3.504083,USD,,,57693.59206699895,2024,,
38480216,Vleeswarenbedrijf Bruynkens,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,51.1495,4.901222,USD,,,57693.59206699895,2024,,
38480246,Westvlees,Animal And Vegetable Products From The Food And Beverage Sector,BEL,manufacturing,food-beverage-tobacco,50.930496,3.006087,USD,,,57693.59206699895,2024,,
38468973,"""Rubin"" Ad",Glass Manufacturing,BGR,manufacturing,glass,43.439636,24.567545,USD,,,69510.64989878118,2024,,
38473721,Abotis Ltd,Final Product Assembly,BGR,manufacturing,textiles-leather-apparel,41.8859984,23.4628413,USD,,,1156.4752081996533,2024,,
38478594,Almina Jsc.,Final Product Assembly,BGR,manufacturing,textiles-leather-apparel,43.8178375,23.2383326,USD,,,1156.4752081996533,2024,,
38480259,Amilum Bg Ead,Animal And Vegetable Products From The Food And Beverage Sector,BGR,manufacturing,food-beverage-tobacco,43.5692,26.5279,USD,,,132719.1933584209,2024,,
38479157,Arda Ltd.,Cut & Sew|Cutting|Embroidery|Packaging|Product Finishing,BGR,manufacturing,textiles-leather-apparel,43.8403431,25.9489572,USD,,,1156.4752081996533,2024,,
38478768,B.E.G.S Fashion Pltd (Site 2),Final Product Assembly,BGR,manufacturing,textiles-leather-apparel,42.0208569,23.0943385,USD,,,1156.4752081996533,2024,,
38478754,Bames Eood,Final Product Assembly,BGR,manufacturing,textiles-leather-apparel,41.7620296,25.347511,USD,,,1156.4752081996533,2024,,
38475172,Begs  Fashion Pltd,Final Product Assembly,BGR,manufacturing,textiles-leather-apparel,41.5678434,23.2803538,USD,,,1156.4752081996533,2024,,
32437258,Beli Izvor Cement Plant,integrated dry,BGR,manufacturing,cement,43.2820181525008,23.4653676582166,t of cement,1699999.9998,0.4088451126186876,472103.67262,2024,1699999.9998,695036.69137
38468969,Bi Ei Glas Bg Glass Manufacturing Company,Glass Manufacturing,BGR,manufacturing,glass,42.169785,24.739872,USD,,,148640.39041239792,2024,,
38468970,Bi Ei Glass Bg Glass Manufacturing Company,Glass Manufacturing,BGR,manufacturing,glass,42.733334,23.316668,USD,,,69510.64989878118,2024,,
38470863,Bulstar Ltd,Printing | Product Dyeing And Laundering,BGR,manufacturing,textiles-leather-apparel,41.4013466,23.2402739,USD,,,1156.4752081996533,2024,,
38475230,Burov I Sie Ood,Cut & Sew|Ironing|Packaging|Product Finishing|Sewing,BGR,manufacturing,textiles-leather-apparel,41.3641223,23.0707337,USD,,,1156.4752081996533,2024,,
38477240,D.San Eood,Final Product Assembly,BGR,manufacturing,textiles-leather-apparel,41.5503364,23.2642621,USD,,,1156.4752081996533,2024,,
