source_id,source_name,source_type,iso3_country,sector,subsector,lat,lon,gas,activity_units,capacity_units,emissions_factor,emissions_factor_units,temporal_granularity,year,months_reported,annual_output_t,annual_emissions_co2e_t,avg_monthly_capacity_t,avg_capacity_factor
44375367,Iguaçu Celulose - Papel S.A. - Unit Campos Novos,Pulp misc.,BRA,manufacturing,pulp-and-paper,-27.54583333,-51.17416667,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999965032,t of CO2e_100yr per t of pulp & paper,month,2024,12,25322.862017,14712.582828999999,2428.9453035,0.8687879872719334
44375370,Iguaçu Celulose - Papel S.A. - Unit Piraí do Sul,Chemical wood pulp,BRA,manufacturing,pulp-and-paper,-24.61361111,-49.97138889,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999982149,t of CO2e_100yr per t of pulp & paper,month,2024,12,44315.008531,25747.019958,4250.654282,0.8687879871138372
44375368,Indústria de Papel Amazonas Ltda Pulp Mill,Pulp misc.,BRA,manufacturing,pulp-and-paper,-25.54361111,-49.88638889,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000088815,t of CO2e_100yr per t of pulp & paper,month,2024,12,607499.99999,352957.50001,58270.833335,0.8687879870913968
44375350,Jari Celulose Papel e Embalagens S/A em Recuperacao Judicial Pulp Mill,Pulp misc.,BRA,manufacturing,pulp-and-paper,-0.925555556,-52.43416667,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999827359,t of CO2e_100yr per t of pulp & paper,month,2024,12,147716.69514,85823.399856,14168.847609999999,0.8687879871241012
44375349,LD Celulose S.A. Joint Venture between Lenzing and Brazilian Dexco,Pulp misc.,BRA,manufacturing,pulp-and-paper,-18.83444444,-47.91305556,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000392198,t of CO2e_100yr per t of pulp & paper,month,2024,12,211023.85013,122604.85697899999,20241.210864166667,0.8687879871499528
44375375,Manikraft Guaianazes Indústria de Celulose e Papel Ltda,Pulp misc.,BRA,manufacturing,pulp-and-paper,-23.534326,-46.427848,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999885037,t of CO2e_100yr per t of pulp & paper,month,2024,12,27728.533908999998,16110.278201000001,2659.695107916667,0.8687879870908581
44375348,Melhoramentos Papéis Ltda - Fazenda Levantina,Pulp misc.,BRA,manufacturing,pulp-and-paper,-22.82694444,-46.09055556,co2e_100yr,t of pulp & paper,t of pulp & paper,0.5809999999767,t of CO2e_100yr per t of pulp & paper,month,2024,12,27363.462649,15898.1718,2624.677813,0.8687879871496346
44375342,Paper Excellence Brazil - Três Lagoas Mill,Pulp misc.,BRA,manufacturing,pulp-and-paper,-20.59666667,-51.61222222,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999995063,t of CO2e_100yr per t of pulp & paper,month,2024,12,717481.0905,416856.51359,68820.11694416666,0.8687879871439111
44375356,Sengés Papel e Celulose Ltda - Senges Mill,Pulp misc.,BRA,manufacturing,pulp-and-paper,-24.11666667,-49.4675,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000088815,t of CO2e_100yr per t of pulp & paper,month,2024,12,607499.99999,352957.50001,58270.833335,0.8687879870913968
44375363,Sulamericana Industrial Ltda Pulp Mill,Pulp misc.,BRA,manufacturing,pulp-and-paper,-22.4425,-46.9475,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000034781,t of CO2e_100yr per t of pulp & paper,month,2024,12,11066.0907018,6429.3986976999995,1061.449098,0.8687879869984448
44375343,Suzano - Horizonte 1,Pulp misc.,BRA,manufacturing,pulp-and-paper,-20.99472222,-51.79027778,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000015923,t of CO2e_100yr per t of pulp & paper,month,2024,12,548662.01034,318772.62803,52627.148255,0.8687879870188828
44375344,Suzano - Horizonte 2,Pulp misc.,BRA,manufacturing,pulp-and-paper,-20.99472222,-51.79027778,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000015923,t of CO2e_100yr per t of pulp & paper,month,2024,12,822993.01553,478158.94201,78940.72237583333,0.8687879871140486
44375341,Suzano - Ribas do Rio Pardo,Pulp misc.,BRA,manufacturing,pulp-and-paper,-20.47194444,-53.67722222,co2e_100yr,t of pulp & paper,t of pulp & paper,0.581000000014115,t of CO2e_100yr per t of pulp & paper,month,2024,12,4600319.9333,2672785.8811,441258.39689166663,0.8687879871350995
44375340,Suzano - Unidade Imperatriz,Pulp misc. (known types include mechanical and semi-chemical wood pulp),BRA,manufacturing,pulp-and-paper,-5.416388889,-47.565,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999975925,t of CO2e_100yr per t of pulp & paper,month,2024,12,696378.70548,404596.02786,66795.995855,0.8687879871713271
44375354,Suzano - Unidade Mucuri,Pulp misc.,BRA,manufacturing,pulp-and-paper,-18.04222222,-39.91944444,co2e_100yr,t of pulp & paper,t of pulp & paper,0.580999999995063,t of CO2e_100yr per t of pulp & paper,month,2024,12,717481.0905,416856.51359,68820.11694416666,0.8687879871439111
