source_id,source_name,iso3_country,lat,lon,year,annual_yield_kwh_per_kwp,capacity_factor,pvgis_raddatabase,tilt_deg,azimuth_deg,system_loss_pct
44375548,Tarascon Pulp Mill,FRA,43.780612,4.652488,2023,1835.3318800000002,0.20951277168949775,PVGIS-ERA5,43.780612,0,0.0
44375541,WEPA Greenfield SAS - WEPA Group,FRA,49.0330112,3.3935335,2023,1294.72026,0.14779911643835617,PVGIS-ERA5,49.0330112,0,0.0
44375549,Drava Paper Mill,HRV,45.85666053657,17.3978741551187,2023,1477.6401700000001,0.16868038470319635,PVGIS-ERA5,45.85666053657,0,0.0
44375550,Drvenjača d.d. Pulp Mill,HRV,45.2997443,14.7213856,2023,1468.66093,0.1676553573059361,PVGIS-ERA5,45.2997443,0,0.0
44375551,Dunacell Kft. Pulp Mill,HUN,46.927179,18.9365433,2023,1473.90147,0.16825359246575342,PVGIS-ERA5,46.927179,0,0.0
44375578,Burgo Group spa - Sede legale,ITA,45.5200417,11.4873544,2023,1575.35853,0.17983544863013698,PVGIS-ERA5,45.5200417,0,0.0
44375581,Cartiera Italiana S.p.A. Pulp Mill,ITA,45.6866357,8.3102668,2023,1578.1325299999999,0.18015211529680364,PVGIS-ERA5,45.6866357,0,0.0
44375579,Portonogaro Pulp Mill,ITA,45.9400546,12.8391955,2023,1523.8046199999999,0.17395029908675796,PVGIS-ERA5,45.9400546,0,0.0
44375580,Sicem Saga S.p.A. Pulp Mill,ITA,44.5977267,10.4096447,2023,1614.76654,0.1843340799086758,PVGIS-ERA5,44.5977267,0,0.0
44375633,Global Cellulose Fibers - Gdansk Modified Fiber Plant - International Paper,POL,54.356974,18.485606,2023,1229.5610499999998,0.14036085045662097,PVGIS-ERA5,54.356974,0,0.0
44375635,Mondi Świecie Pulp Mill,POL,53.393136,18.378309,2023,1176.47945,0.13430130707762558,PVGIS-ERA5,53.393136,0,0.0
44375634,Schumacher Packaging Myszków Pulp Mill,POL,50.573395,19.319579,2023,1228.26478,0.14021287442922375,PVGIS-ERA5,50.573395,0,0.0
44375637,Celbi Caima Dissolving Pulp Mill,PRT,39.471564,-8.333286,2023,1862.41752,0.2126047397260274,PVGIS-ERA5,39.471564,0,0.0
44375640,Fapajal - Fábrica de Papel do Tojal S.A. Pulp Mill,PRT,38.8603802,-9.126352,2023,1909.6681199999998,0.21799864383561643,PVGIS-ERA5,38.8603802,0,0.0
44375639,Figueira da Foz BEKP Pulp and Paper Mill,PRT,40.059689,-8.853132,2023,1873.5723600000001,0.21387812328767125,PVGIS-ERA5,40.059689,0,0.0
44375636,Leirosa Bleached Eucalyptus Pulp Mill,PRT,40.050547,-8.875138,2023,1874.5130100000001,0.21398550342465755,PVGIS-ERA5,40.050547,0,0.0
44375638,The Navigator Company - Cacia Pulp Mill,PRT,40.6845188,-8.5901778,2023,1789.24467,0.20425167465753424,PVGIS-ERA5,40.6845188,0,0.0
44375641,The Navigator Company - Setúbal Mill,PRT,38.49203572,-8.807280032,2023,1946.51854,0.22220531278538813,PVGIS-ERA5,38.49203572,0,0.0
