source_name,source_id,system:index,tree_cover_km2,shrubland_km2,grassland_km2,cropland_km2,built_up_km2,bare_sparse_km2,snow_ice_km2,water_km2,wetland_km2,mangroves_km2,moss_lichen_km2
Libeco Lagae Nv.,38476375,0000000000000000004d,73.74226455545272,0.0,190.4735489358872,247.7744405863555,134.56866915975925,0.3136567672121534,,2.4800393510904946,0.05394600421142578,,
Lixhe Cement Plant,32437252,0000000000000000004e,76.82302748348539,0.0,119.99510749345863,199.95832461684836,85.22551511126824,0.9643883660278321,,7.294865861886297,0.005695134460449219,,
Manshoven Vers,38480241,0000000000000000004f,123.71967034108079,5.68078125E-4,169.14104800264897,128.1728454504739,87.29233552602035,0.11020812393152574,,2.0750883541374656,0.017042848571777344,,
Mars Belgium,38480638,00000000000000000050,134.01724216682769,0.002259623229980469,161.47746158082944,99.51348559582472,88.06007594331751,0.13837076082189223,,2.9692134566475663,0.058351103666417735,,
Mcthree Carpets,38472835,00000000000000000051,80.84145440555857,0.0,161.11333036030663,248.92120113536745,117.03453783289513,0.3395389837036133,,3.838771920172718,0.06649794219970703,,
Obourg Cement Plant,32437253,00000000000000000052,115.37798315205958,0.0,116.15579738841745,281.71838148397563,71.56360285025825,0.7504123593996533,,3.747093681500843,0.01665702960205078,,
Olympia,38480867,00000000000000000053,91.53635452723101,0.0,160.47047783042473,240.95883121897012,54.478115234038675,0.1624366720877853,,0.8463073614281748,0.002849502685546875,,
Pb Leiner Vilvoorde,38480873,00000000000000000054,131.4024640465557,5.668171997070312E-4,125.20793451378066,123.23827678781501,167.05664976549266,0.42864276744049673,,5.060571790433038,0.02020356297607422,,
Raffinerie Tirlemontoise Sa - Site De Brugelette,38480637,00000000000000000055,104.85056860276268,,146.64246387492514,319.9036577033732,41.39884849052997,0.4078161068725586,,1.4339224084893922,0.012481198015759037,,
Raffinerie Tirlemontoise Sa - Site De Hollogne,38480647,00000000000000000056,80.2756142480275,,91.08987676615783,415.5657937871497,42.16683966528202,0.3951909970784505,,0.33977182795625577,0.021127913146972658,,
Raffinerie Tirlemontoise Sa - Site De Wanze,38480784,00000000000000000057,91.17564318796339,,88.80308731855803,277.8442063144626,31.53246494094143,0.38300434185791016,,2.365067360004739,0.004578729675292968,,
Saint-Gobain Glass Sa,38469190,00000000000000000058,127.24206839477284,,86.91301413547338,242.80375366752386,80.12725110867967,0.5341899327392579,,1.5202855628525678,0.0017204835815429688,,
Saverglass Md Verre,38468966,00000000000000000059,116.88856849134716,0.0,122.64829386667323,254.13584287102236,61.41316415320903,0.5992343842421588,,3.8996554341270295,0.024101989807128906,,
Schildermans Pluimveeslachterij,38480217,0000000000000000005a,56.58545276681864,0.03667783074951172,79.37667512138647,80.39626203345803,54.4273981928639,0.1869658605906767,,1.2115845366277955,0.010162907958984375,,
Slachthuis Genk,38480650,0000000000000000005b,110.88320812726862,0.002840589294433594,83.76385861858701,54.759661260263734,96.72838241015,0.3417469144287109,,3.0487756110619637,0.013057289672851562,,
Slachthuis Heist Op Den Berg,38480218,0000000000000000005c,158.00614184285394,0.0033947216186523436,194.1217020535463,78.79440698485628,103.23436306945078,0.16370312049728097,,3.0319796092447917,0.10466138793945312,,
Slachthuis Sint Truiden,38480209,0000000000000000005d,110.81529879378374,5.68078125E-4,181.02424148526805,246.08676186889454,63.240971992645115,0.09911076500315946,,0.08309757318115234,0.022458055940515857,,
Tecoma,38480242,0000000000000000005e,110.55316580994895,0.004514612915039062,82.89633536600437,69.34336642205572,137.82467636124846,1.3929809802246094,,16.577847076209693,0.09750864971923828,,
Tereos Starch & Sweeteners Belgium,38480863,0000000000000000005f,115.56876867274651,0.007371674926757813,197.52573092499279,142.1097263245898,106.42754941770433,0.12434608880615235,,0.7805950328225528,0.08053768096923829,,
Thy Marcinelle Charleroi steel plant,1566443,00000000000000000060,141.45545457582196,,82.79114676667172,211.89862712900376,94.45967955960262,0.36904312762451175,,2.082317437476304,0.0,,
Tiense Suikerraffinaderij,38480880,00000000000000000061,78.40494322025026,,125.60869594518721,342.5620477054518,47.37562773754334,0.0877635258621515,,0.17551349583213655,0.02733610888671875,,
"TotalEnergies Fina Antwerp Olefin, Antwerp",18648343,00000000000000000062,102.59835076728713,0.004514612915039062,98.1775019702242,85.50030126667899,144.4298395532571,1.407664717477836,,16.47846403711464,0.10317021258544921,,
Trotec,38480938,00000000000000000063,13.335128644634889,0.0,127.64220343642117,288.6722604875861,32.02851293465792,0.9937036117412492,,6.399792760426002,2.9561569845322553,,
UMICORE - HOBOKEN,3673515,00000000000000000064,98.82773076986062,0.0062128723754882815,140.09438930445938,81.03391003623683,174.60962319391203,1.3028098779296875,,13.703795825131639,0.09973632811758006,,
Ursa Benelux,38469278,00000000000000000065,82.31631520776561,0.0,172.49485577969074,246.9464264810052,131.077121877539,0.35449905316233915,,3.0472945847471946,0.056234848266601564,,
Utexbel,38474877,00000000000000000066,67.01064605007994,,139.32023924833925,302.61916060762286,41.34532856838043,0.10481899047851563,,1.4982892429809571,0.02162947235107422,,
Vaco Olen,38480208,00000000000000000067,129.4871668470576,0.0016948660888671874,154.8334827076961,103.04258640604635,84.29644017520825,0.1412949695367551,,2.934989583721804,0.020940036560058595,,
Vacos Kitchen Herselt,38480244,00000000000000000068,129.4866267099009,5.652440185546875E-4,163.03372595451776,85.99798822430229,97.1334624997702,0.14489455194091796,,2.2394995810898726,0.020958805236816407,,
Vandamme Oliefabriek,38480250,00000000000000000069,93.55329019610978,,200.50848119773278,228.983927382334,84.91396973183332,0.2206959977620443,,3.5694932524011946,0.07339183506314147,,
Vleeswarenbedrijf Bruynkens,38480216,0000000000000000006a,129.1948813031101,0.0016948660888671874,154.49156281577845,103.39861320242417,84.31495981350308,0.14065771658385032,,2.9289177021958297,0.020312240433995866,,
Westvlees,38480246,0000000000000000006b,52.27791676396437,,161.64487836049975,321.7011493319242,86.29730272163108,0.18342362077062271,,1.3918635566956765,0.056776073669433595,,
Abotis Ltd,38473721,0000000000000000006c,21.904408021596634,0.0,47.10942962250546,31.144909278973746,10.331660510036334,0.23702035192871093,0.0,0.14127242260742187,0.005355763305664062,,0.0
