iso3_country,year,technology,income_group,wb_region,capex_$/kw,fom_$/kw/yr,vom_$/mwh,lcoe_$/mwh,wacc_nominal,crf,annual_cost_$/kw/yr,data_source,capex_source,crf_source,proxy_peers,country_name
BRN,2030,PV fixed-axis,HIC,East Asia & Pacific,576.43,17.2491,0,42.05,,0.075773,60.93,proxied,peer_mean_region_income,peer_mean,AUS|JPN|KOR,Brunei Darussalam
BTN,2025,PV fixed-axis,LMIC,South Asia,358.73,5.0176,0,25.14,,0.132594,52.58,proxied,peer_mean_region_income,peer_mean,IND,Bhutan
BTN,2030,PV fixed-axis,LMIC,South Asia,324.97,4.7021,0,19.48,,0.132594,47.79,proxied,peer_mean_region_income,peer_mean,IND,Bhutan
BWA,2025,PV fixed-axis,UMIC,Sub-Saharan Africa,477.96,12.2584,0,39.09,,0.101525,60.78,proxied,peer_mean_region_income,peer_mean,ZAF,Botswana
BWA,2030,PV fixed-axis,UMIC,Sub-Saharan Africa,446.22,11.5353,0,32.58,,0.101525,56.84,proxied,peer_mean_region_income,peer_mean,ZAF,Botswana
CAF,2025,PV fixed-axis,LIC,Sub-Saharan Africa,573.91,12.2751,0,44.09,,0.144433,95.17,proxied,global_mean,peer_mean,ARE|AUS|CAN|CHN|DEU|ESP|FRA|GBR|IDN|IND|ITA|JPN|KOR|MYS|PHL|THA|USA|VNM|ZAF,Central African Republic
CAF,2030,PV fixed-axis,LIC,Sub-Saharan Africa,462.06,11.5,0,34.46,,0.144433,78.24,proxied,global_mean,peer_mean,ARE|AUS|CAN|CHN|DEU|ESP|FRA|GBR|IDN|IND|ITA|JPN|KOR|MYS|PHL|THA|USA|VNM|ZAF,Central African Republic
CAN,2025,PV fixed-axis,HIC,North America,550.31,15.3382,0,39.78,0.064121,0.081316,60.09,bnef,bnef,irena,,Canada
CAN,2030,PV fixed-axis,HIC,North America,434.82,14.3547,0,32.31,0.064121,0.081316,49.71,bnef,bnef,irena,,Canada
CHE,2025,PV fixed-axis,HIC,Europe & Central Asia,505.11,11.1583,0,41.62,0.022926,0.052997,37.93,proxied,peer_mean_region_income,irena,DEU|ESP|FRA|GBR|ITA,Switzerland
