source_name,source_id,system:index,tree_cover_km2,shrubland_km2,grassland_km2,cropland_km2,built_up_km2,bare_sparse_km2,snow_ice_km2,water_km2,wetland_km2,mangroves_km2,moss_lichen_km2
Pankakoski Pulp and Cartonboard Mill,44375537,00000000000000000024,40.25391800064123,0.0,6.107452157601631,0.004891072814941407,0.030933569828886145,0.0016309210205078125,,3.0170610102148925,0.4734048432323979,,0.004072525939941406
Pietarsaari Pulp Mill,44375538,00000000000000000025,17.14353729464324,0.0032036162109375,6.162289380030017,1.6211931839631926,5.177558781627819,0.16338116751098633,,21.62254820986147,1.0392378522490857,,
Rauma Pulp Mill,44375539,00000000000000000026,17.87637130048349,8.738570556640625E-4,3.0895658168696403,1.323075629276889,7.437390210687735,0.49994887658691406,,27.159009307191027,0.35804757480959426,,
Stora Enso Biomaterials - Enocell Pulp Mill,44375531,00000000000000000027,32.616447689015054,0.0041134017639160156,2.6628198343396945,0.27037042013549806,1.0729622857317758,0.01974384814453125,,19.689951923518503,0.37084029509217503,,4.10793701171875E-4
Stora Enso Oyj - Sunila Pulp Mill,44375530,00000000000000000028,13.941437756263046,,2.328759614684101,1.4162086843554924,9.692451382886352,0.30614154458618165,,28.89355940365684,0.7101664486172546,,
Stora Enso Oyj - Varkaus Mill,44375532,00000000000000000029,21.024299707844808,,1.5742747078099868,1.0656647793439085,4.739514183228856,0.22114656466674804,,18.95804168555644,0.17690250184757006,,
Stora Enso Packaging Papers Varkaus,44375533,0000000000000000002a,21.581496621047055,,1.6624538673782647,1.0627888200761384,4.804395226155958,0.22225565088656557,,18.030254174744048,0.2074641008476706,,
UPM Group - Paper Industry,44375523,0000000000000000002b,5.281585965218579,,1.0011418717615466,0.02828709832763672,9.977094229704385,0.2614558571166992,,37.93751010498541,0.10156520031558766,,
UPM Group - Paper Industry - Kaukas Mill,44375527,0000000000000000002c,14.244576515751863,,1.8454759728247552,3.501327817433554,8.809301234870937,0.21422571165424423,0.0,18.63363996470849,0.05917193629485485,,
UPM Group - Paper Industry - Pietarsaari Mill,44375528,0000000000000000002d,23.839583369784233,0.026470415283203125,7.46255953245275,2.678584456589284,5.962332213970228,0.1773622187438965,,10.02346063091633,0.991905224049168,,
Alizay Papier SASU - VPK Group,44375540,0000000000000000002e,19.798297994804845,,11.711923557374966,15.208065095002299,5.703999596756998,0.17911419799804687,,2.0590240362948555,0.014098799865722655,,
Facture Biganos Pulp and Paper Mill,44375543,0000000000000000002f,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,
Golbey Pulp and Paper Mill,44375544,00000000000000000030,25.695206547042766,,11.469136622345323,5.334885898044486,11.952509838445442,0.07507581508214614,,0.8844967435716815,,,
Mimizan Pulp and Paper Mill - Paper Bags,44375545,00000000000000000031,26.98506615431316,6.449114379882812E-4,10.198646257566445,0.9215435054893345,3.9172276820621263,0.5614553281058516,,3.609396591658049,0.0,,
Rayonier Advanced Materials,44375542,00000000000000000032,27.27636530371769,0.0012977449340820313,11.49704654642023,16.9611569150618,1.9763303120751476,0.016874824645996093,,0.09995539923095703,0.005192211547851562,,
Saillat-sur-Vienne Pulp and Paper Mill,44375546,00000000000000000033,16.666408579021617,,16.178946830200434,8.124606216799029,1.4837506416649915,0.0188004873046875,,0.8579002443069758,,,
Saint Gaudens Pulp Mill,44375547,00000000000000000034,8.249888029939534,,12.94980336550077,11.271895674767823,5.960657336980362,0.02824577606201172,,0.2633916433105469,,,
Tarascon Pulp Mill,44375548,00000000000000000035,12.237015290406452,2.5247818731342395,13.578524509799376,21.457669677575428,9.431686493772014,0.39937327300403064,,0.13368221076372933,0.004546344848632812,,
WEPA Greenfield SAS - WEPA Group,44375541,00000000000000000036,13.381775455796422,,5.120395977837057,22.608772971487266,4.78421804242398,0.006496306396484375,,0.6973558507745481,,,
Drava Paper Mill,44375549,00000000000000000037,10.650300315376082,,7.7358796992900745,52.577618062461426,5.02825304249842,0.05454874060058594,,0.003134763671875,0.1367054781360103,,
Drvenjača d.d. Pulp Mill,44375550,00000000000000000038,0.08736519036865234,0.0,0.05380199755859375,0.006330552673339844,0.12154809033203125,0.005064160461425781,,0.001266036376953125,0.0,,
Dunacell Kft. Pulp Mill,44375551,00000000000000000039,10.895760246685198,,7.8835035978546735,33.16064550267502,9.043981149788175,0.10205790124511718,,0.2508549268300973,0.039361466430664065,,
Burgo Group spa - Sede legale,44375578,0000000000000000003a,5.510285707768702,,7.36759216103396,11.926959737132831,15.752214216896682,0.1125772415005553,,0.015880103531901044,6.308048706054688E-4,,
Cartiera Italiana S.p.A. Pulp Mill,44375581,0000000000000000003b,8.49934964787334,,2.9175949642475203,0.2951966247979856,4.2453188031762235,0.8069174548033471,,0.8983659226758769,,,
Portonogaro Pulp Mill,44375579,0000000000000000003c,7.102055982996562,0.0012519462280273438,32.183580224397765,25.506901830174577,10.626864858758424,0.2893427918607824,,0.06657419334980086,,,
Sicem Saga S.p.A. Pulp Mill,44375580,0000000000000000003d,4.687677417467782,0.2577872493697821,4.565760870261041,3.3001090863460765,2.9584665926039757,0.1140380302734375,,1.2355749675482057,,,
Global Cellulose Fibers - Gdansk Modified Fiber Plant - International Paper,44375633,0000000000000000003e,11.478778177652996,,12.63479510400271,11.639078499589509,10.941347271281165,0.499853580583161,,0.4557516602783203,0.0021024396362304687,,
Mondi Świecie Pulp Mill,44375635,0000000000000000003f,15.460627212004539,,7.113260817087452,23.416396121875017,5.1197327899964575,0.1926534763753255,,0.3056360348175647,0.048374722900390625,,
Schumacher Packaging Myszków Pulp Mill,44375634,00000000000000000040,35.70521479032869,,19.791656939918923,7.837818550545486,6.890281445478852,0.10300950723039216,,0.3335099153700884,0.15109638159179686,,
Celbi Caima Dissolving Pulp Mill,44375637,00000000000000000041,14.112516707296217,0.5319583839518229,10.64935663075693,6.037112618334004,2.522303064149625,0.26992046011196963,,1.531830018430702,0.009714840148925782,,
Fapajal - Fábrica de Papel do Tojal S.A. Pulp Mill,44375640,00000000000000000042,3.725134532721546,0.09372258733819701,11.47715432977319,7.1265105649730005,8.812840603909839,0.29108409373659616,,0.016277881367522593,0.162136576266659,,
Figueira da Foz BEKP Pulp and Paper Mill,44375639,00000000000000000043,26.5037580597247,2.1724775149928677,14.942473262973442,3.613843598131845,4.940685197135656,0.955555433020259,,0.06743694116210938,3.1826534160539217E-4,,
Leirosa Bleached Eucalyptus Pulp Mill,44375636,00000000000000000044,22.650784837097888,2.3559581421511178,15.27682373983849,1.6025583837143835,2.9995806749028238,1.0536529383257696,,0.06743694116210938,,,
The Navigator Company - Cacia Pulp Mill,44375638,00000000000000000045,5.147774241947907,0.015494173133281632,5.771879533670582,2.841216745557837,6.774118324235265,0.19981786273193358,,0.02182016778564453,0.008862641296386718,,
The Navigator Company - Setúbal Mill,44375641,00000000000000000046,0.8199867174984202,0.019099161470301013,2.999012178119257,0.14347132263183593,2.5752723534852273,0.5725430631553501,,11.2835827978305,0.04500109844970703,,
