country,sector,nace,total_tj,fossil_sum_tj,fossil_share,data_available,lookup_key
Portugal,C17_X_C1711 — Paper excl. pulp,C17xP,8440.673,3854.0,0.45659866221567874,Yes,Portugal|C17xP
Portugal,C1711 — Pulp only,C1711,45362.175,3707.0,0.08172006743503811,Yes,Portugal|C1711
Romania,C17 — All paper & pulp,C17,5484.239,2482.6,0.4526790316760448,Yes,Romania|C17
Romania,C17_X_C1711 — Paper excl. pulp,C17xP,5484.239,2482.6,0.4526790316760448,Yes,Romania|C17xP
Romania,C1711 — Pulp only,C1711,0.0,0.0,,Yes,Romania|C1711
Serbia,C17 — All paper & pulp,C17,4664.987,1626.4,0.34863977112905137,Yes,Serbia|C17
Serbia,C17_X_C1711 — Paper excl. pulp,C17xP,4664.987,1626.4,0.34863977112905137,Yes,Serbia|C17xP
Serbia,C1711 — Pulp only,C1711,0.0,0.0,,Yes,Serbia|C1711
Slovakia,C17 — All paper & pulp,C17,15114.9,1350.9,0.08937538455431396,Yes,Slovakia|C17
Slovakia,C17_X_C1711 — Paper excl. pulp,C17xP,,0.0,,No,Slovakia|C17xP
Slovakia,C1711 — Pulp only,C1711,,0.0,,No,Slovakia|C1711
Slovenia,C17 — All paper & pulp,C17,4686.014,2843.2,0.606741678535318,Yes,Slovenia|C17
Slovenia,C17_X_C1711 — Paper excl. pulp,C17xP,,2817.0,,No,Slovenia|C17xP
Slovenia,C1711 — Pulp only,C1711,,26.2,,No,Slovenia|C1711
Spain,C17 — All paper & pulp,C17,72398.777,24178.0,0.33395591751501547,Yes,Spain|C17
Spain,C17_X_C1711 — Paper excl. pulp,C17xP,58973.151,14998.1,0.25432081796002387,Yes,Spain|C17xP
Spain,C1711 — Pulp only,C1711,13425.626,9180.0,0.6837669990211257,Yes,Spain|C1711
Sweden,C17 — All paper & pulp,C17,258003.456,7062.4,0.02737327673626201,Yes,Sweden|C17
Sweden,C17_X_C1711 — Paper excl. pulp,C17xP,148816.629,4847.8,0.032575660613841755,Yes,Sweden|C17xP
Sweden,C1711 — Pulp only,C1711,109186.827,2214.6,0.02028266651617232,Yes,Sweden|C1711
