subsector,nace_r2,geo,fossil_tj,biomass_tj,reliable,fossil_share,fossil_share_eu27,fossil_share_final
chemicals,C20,IT,47239.078,712.222,True,0.9851469720320408,0.9751700639113343,0.9851469720320408
chemicals,C20,LT,3962.223,454.0,True,0.8971972203396432,0.9751700639113343,0.8971972203396432
chemicals,C20,LU,72.769,0.0,True,1.0,0.9751700639113343,1.0
chemicals,C20,LV,244.72899999999998,104.963,True,0.6998415748716013,0.9751700639113343,0.6998415748716013
chemicals,C20,MD,55.841,0.76,True,0.9865726753944277,0.9751700639113343,0.9865726753944277
chemicals,C20,ME,85.098,72.4,True,0.5403116230047366,0.9751700639113343,0.5403116230047366
chemicals,C20,MT,5.632,0.0,True,1.0,0.9751700639113343,1.0
chemicals,C20,NL,162453.45200000002,0.0,False,1.0,0.9751700639113343,0.9751700639113343
chemicals,C20,PL,47381.511999999995,256.089,True,0.9946242255146308,0.9751700639113343,0.9946242255146308
chemicals,C20,PT,5564.245,227.298,True,0.9607534641459107,0.9751700639113343,0.9607534641459107
chemicals,C20,RO,19629.427,133.185,True,0.9932607592559121,0.9751700639113343,0.9932607592559121
chemicals,C20,RS,4591.269,308.439,True,0.9370495139710366,0.9751700639113343,0.9370495139710366
chemicals,C20,SE,1553.761,0.0,False,1.0,0.9751700639113343,0.9751700639113343
chemicals,C20,SI,820.805,600.304,False,0.5775806078210749,0.9751700639113343,0.9751700639113343
chemicals,C20,SK,14474.249999999998,63.0,True,0.9956663055254604,0.9751700639113343,0.9956663055254604
food-beverage-tobacco,C10-C12,AT,14656.763,750.201,True,0.9513076684024186,0.8940834956611184,0.9513076684024186
food-beverage-tobacco,C10-C12,BE,41360.291,4107.57,True,0.9096599244024257,0.8940834956611184,0.9096599244024257
food-beverage-tobacco,C10-C12,BG,4977.47,2171.528,True,0.6962472223380116,0.8940834956611184,0.6962472223380116
food-beverage-tobacco,C10-C12,CY,760.225,211.721,True,0.7821679393711173,0.8940834956611184,0.7821679393711173
food-beverage-tobacco,C10-C12,CZ,11815.597,129.55,True,0.9891545914001728,0.8940834956611184,0.9891545914001728
food-beverage-tobacco,C10-C12,DE,126825.30900000001,5396.0,True,0.9591896341005065,0.8940834956611184,0.9591896341005065
food-beverage-tobacco,C10-C12,DK,13728.877,1211.79,True,0.91889317926703,0.8940834956611184,0.91889317926703
food-beverage-tobacco,C10-C12,EE,1267.174,175.41,True,0.8784056942264713,0.8940834956611184,0.8784056942264713
food-beverage-tobacco,C10-C12,EL,3157.601,4579.289,True,0.40812277284541987,0.8940834956611184,0.40812277284541987
food-beverage-tobacco,C10-C12,ES,52450.864,29254.66,True,0.6419500351041136,0.8940834956611184,0.6419500351041136
food-beverage-tobacco,C10-C12,EU27,603734.451,71520.661,True,0.8940834956611184,0.8940834956611184,0.8940834956611184
food-beverage-tobacco,C10-C12,FI,2648.257,570.0,True,0.8228854936072538,0.8940834956611184,0.8228854936072538
food-beverage-tobacco,C10-C12,FR,86893.872,8395.052,True,0.9118989736939417,0.8940834956611184,0.9118989736939417
food-beverage-tobacco,C10-C12,HR,4881.954000000001,275.0,True,0.9466739474503748,0.8940834956611184,0.9466739474503748
food-beverage-tobacco,C10-C12,HU,14142.981,3925.0,True,0.7827648811452702,0.8940834956611184,0.7827648811452702
