sector,reference_twh,cc,bottom_up_twh,coverage_pct
Pulp & Paper,3.699549874726758,CZ,1.0904507418875,29.475227495562248
Steel,5.241848754196999,CZ,2.3780539999999992,45.3667038389072
Textiles & Leather,0.6513147370118509,CZ,0.9468689018513712,145.3780865139771
Cement (+lime),15.442342143743687,DE,13.131079039239252,85.03294977542754
Ceramics & Glass,21.50205127532138,DE,3.36288148625,15.639817072288777
Chemicals,45.52018404064182,DE,48.76167822379378,107.12100412480285
"Food, Bev & Tobacco",19.61929517615087,DE,19.619295176150864,99.99999999999996
Non-ferrous Metals,4.915314747067518,DE,2.0948439197460886,42.61871370487261
Pulp & Paper,36.21939645943053,DE,5.474308705558146,15.114301287957513
Steel,31.65906639509936,DE,30.83758815496747,97.40523542330658
Textiles & Leather,1.2785664237762335,DE,1.9845275365898636,155.21505177091862
Cement (+lime),1.105131837788395,DK,0.775036674073301,70.130698218261
Ceramics & Glass,2.2154097885109247,DK,0.059312500000000004,2.6772699257534005
Chemicals,0.0,DK,0.0,
"Food, Bev & Tobacco",2.409056793226827,DK,2.3692321078290615,98.34687644103143
Non-ferrous Metals,0.0,DK,0.0,
Pulp & Paper,0.3659206239977087,DK,0.0,0.0
Steel,0.2859200631747469,DK,0.0,0.0
Textiles & Leather,0.053602712631181895,DK,0.069835218901164,130.2829940373937
Cement (+lime),0.0825245187695624,EE,0.0,0.0
Ceramics & Glass,0.006533965931467272,EE,0.068209375,1043.9199670678854
Chemicals,0.10850904358708091,EE,0.0,0.0
"Food, Bev & Tobacco",0.2018530700895835,EE,0.0,0.0
Non-ferrous Metals,0.0022309501564603527,EE,0.0,0.0
Pulp & Paper,0.27399591918000593,EE,0.20471367924364584,74.71413437699995
Steel,0.0,EE,0.0,
Textiles & Leather,0.0254560534655065,EE,0.01713042450769159,67.29410955592029
Cement (+lime),2.7127332431913533,EL,3.6621489087316,134.99848973072343
Ceramics & Glass,0.8125088828195561,EL,0.0,0.0
Chemicals,0.2308496385306108,EL,0.16649999999999995,72.12486926979612
"Food, Bev & Tobacco",1.6165558273541045,EL,1.6165558273541045,100.0
Non-ferrous Metals,1.3143066140702675,EL,0.1090687920866226,8.298580477263839
Pulp & Paper,0.3560115345107016,EL,0.0,0.0
Steel,0.2575667752024364,EL,0.6494444444444443,252.1460479264101
Textiles & Leather,0.14124373226129838,EL,0.25015906587682724,177.11162249241434
Cement (+lime),6.8752521497941395,ES,11.29727794524445,164.31801625752325
Ceramics & Glass,15.49588775689858,ES,1.5005735387499999,9.68368874562842
Chemicals,11.284843853973449,ES,11.96697893584442,106.04470111148936
"Food, Bev & Tobacco",9.533343490075442,ES,9.533343490075444,100.00000000000001
Non-ferrous Metals,2.9404966301846898,ES,2.7890585301674866,94.84991417903133
Pulp & Paper,11.38049299853427,ES,1.9945242951127085,17.525816283790075
Steel,5.9752432420098085,ES,6.804909720998757,113.88506618702748
Textiles & Leather,1.0320335473000903,ES,1.2409556379819435,120.24373056752037
Cement (+lime),0.564977712868298,FI,0.8287498459255099,146.68717491847326
Ceramics & Glass,0.9639773286144919,FI,0.0,0.0
Chemicals,2.6641188247560574,FI,2.7051188503590002,101.53897135600538
"Food, Bev & Tobacco",1.3324242288552517,FI,1.3324242288552517,100.0
Non-ferrous Metals,0.4682213565292988,FI,0.0,0.0
Pulp & Paper,36.55041539189666,FI,16.577131292245415,45.35415292686555
